,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetworkOpt,23,"M,F",0.4897959183673469,0.45141065830721006,0.4912060301507538,,0.5052345058626466,0.4114285714285714,0.5,0.06955821812152863,50,212200,6
362,MCI,validation,MCINetworkOpt,362,"M,F",0.4839650145772595,0.5203252032520326,0.5092127303182579,0.1968124392614188,0.5052345058626466,0.4266666666666667,0.6666666666666666,0.023779576644301414,30,212200,6
191,MCI,validation,MCINetworkOpt,191,"M,F",0.521865889212828,0.4383561643835616,0.5111669458403126,0.13523144135389034,0.5052345058626466,0.43243243243243246,0.4444444444444444,0.2025543749332428,34,212200,6
80,MCI,validation,MCINetworkOpt,80,"M,F",0.5043731778425656,0.4817073170731707,0.5104864600781687,0.16390658230165775,0.5052345058626466,0.42934782608695654,0.5486111111111112,0.04213365912437439,36,212200,6
769,MCI,validation,MCINetworkOpt,769,"M,F",0.5364431486880467,0.4854368932038835,0.5342860134003351,0.1684474114321053,0.5052345058626466,0.45454545454545453,0.5208333333333334,0.06605084985494614,50,212200,6
328,MCI,validation,MCINetworkOpt,328,"M,F",0.5072886297376094,0.4565916398713826,0.5053217476270241,0.1456915493599778,0.5052345058626466,0.4251497005988024,0.4930555555555556,0.08485440164804459,31,212200,6
204,MCI,validation,MCINetworkOpt,204,"M,F",0.4606413994169096,0.47293447293447294,0.4766366554997208,,0.5052345058626466,0.40096618357487923,0.5763888888888888,0.0864918977022171,18,212200,6
281,MCI,validation,MCINetworkOpt,281,"M,F",0.43440233236151604,0.4012345679012346,0.436749720826354,,0.5052345058626466,0.3611111111111111,0.4513888888888889,0.21823464334011078,13,212200,6
841,MCI,validation,MCINetworkOpt,841,"M,F",0.5451895043731778,0.48344370860927155,0.5399043830262423,0.1681583498378254,0.5052345058626466,0.4620253164556962,0.5069444444444444,0.1336839199066162,19,212200,6
31,MCI,validation,MCINetworkOpt,31,"M,F",0.49271137026239065,0.49122807017543857,0.5052345058626466,0.17142636275289336,0.5052345058626466,0.42424242424242425,0.5833333333333334,0.17321398854255676,15,212200,6
