,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetwork,23,"M,F",0.7813411078717201,0.7386759581881533,0.7756293706293707,0.3757111652519816,0.7841433566433567,0.7361111111111112,0.7412587412587412,0.5899330973625183,50,207462,7
362,MCI,validation,MCINetwork,362,"M,F",0.7230320699708455,0.7338935574229691,0.750541958041958,0.3646998147761069,0.7841433566433567,0.6121495327102804,0.916083916083916,0.050929199904203415,50,207462,7
191,MCI,validation,MCINetwork,191,"M,F",0.8250728862973761,0.8,0.8270804195804196,0.4183641004777102,0.7841433566433567,0.7643312101910829,0.8391608391608392,0.13135069608688354,50,207462,7
80,MCI,validation,MCINetwork,80,"M,F",0.7638483965014577,0.7522935779816514,0.77756993006993,0.3765539584638963,0.7841433566433567,0.6684782608695652,0.8601398601398601,0.05300110951066017,50,207462,7
769,MCI,validation,MCINetwork,769,"M,F",0.7346938775510204,0.7331378299120235,0.754562937062937,0.36204894878364263,0.7841433566433567,0.6313131313131313,0.8741258741258742,0.06969129294157028,33,207462,7
328,MCI,validation,MCINetwork,328,"M,F",0.7784256559766763,0.7532467532467533,0.7830944055944056,0.37955853670139383,0.7841433566433567,0.703030303030303,0.8111888111888111,0.2144823670387268,23,207462,7
204,MCI,validation,MCINetwork,204,"M,F",0.7376093294460642,0.7428571428571429,0.7620454545454545,0.37059593270773394,0.7841433566433567,0.6280193236714976,0.9090909090909091,0.18706749379634857,17,207462,7
281,MCI,validation,MCINetwork,281,"M,F",0.6909620991253644,0.7135135135135136,0.7240384615384615,0.3514127246483625,0.7841433566433567,0.5814977973568282,0.9230769230769231,0.08487925678491592,18,207462,7
841,MCI,validation,MCINetwork,841,"M,F",0.8134110787172012,0.762962962962963,0.8001398601398603,0.4070510880731032,0.7841433566433567,0.8110236220472441,0.7202797202797203,0.7234132885932922,30,207462,7
31,MCI,validation,MCINetwork,31,"M,F",0.7959183673469388,0.7445255474452555,0.7841433566433567,0.3888134765997361,0.7841433566433567,0.7786259541984732,0.7132867132867133,0.8260224461555481,35,207462,7
