,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,test,FTDNetwork,23,"M,F",0.8454810495626822,0.39080459770114945,0.8476006191950465,0.49792981158348204,0.7582817337461301,0.2537313432835821,0.85,0.037754885852336884,50,207462,7
362,FTD,test,FTDNetwork,362,"M,F",0.8717201166180758,0.4358974358974359,0.8615325077399381,0.517615864079622,0.7582817337461301,0.29310344827586204,0.85,0.023873256519436836,50,207462,7
191,FTD,test,FTDNetwork,191,"M,F",0.8017492711370262,0.34615384615384615,0.8478328173374613,0.5017492711370263,0.7582817337461301,0.21428571428571427,0.9,0.025042427703738213,50,207462,7
80,FTD,test,FTDNetwork,80,"M,F",0.9620991253644315,0.7111111111111111,0.8860681114551083,0.6675218658892129,0.7582817337461301,0.64,0.8,0.12278416007757187,50,207462,7
769,FTD,test,FTDNetwork,769,"M,F",0.8688046647230321,0.4444444444444444,0.8834365325077399,0.5421473976007265,0.7582817337461301,0.29508196721311475,0.9,0.016611948609352112,50,207462,7
328,FTD,test,FTDNetwork,328,"M,F",0.9795918367346939,0.8205128205128205,0.8953560371517028,0.7685744974681602,0.7582817337461301,0.8421052631578947,0.8,0.07261886447668076,50,207462,7
204,FTD,test,FTDNetwork,204,"M,F",0.8513119533527697,0.41379310344827586,0.8741486068111455,0.5289347722031243,0.7582817337461301,0.26865671641791045,0.9,0.030667820945382118,50,207462,7
281,FTD,test,FTDNetwork,281,"M,F",0.8658892128279884,0.425,0.85843653250774,0.5127308066083576,0.7582817337461301,0.2833333333333333,0.85,0.03838629648089409,50,207462,7
841,FTD,test,FTDNetwork,841,"M,F",0.8571428571428571,0.4235294117647059,0.8772445820433437,0.5330679524557076,0.7582817337461301,0.27692307692307694,0.9,0.03795207291841507,50,207462,7
31,FTD,test,FTDNetwork,31,"M,F",0.5889212827988338,0.2122905027932961,0.7582817337461301,0.47789711571960325,0.7582817337461301,0.11949685534591195,0.95,0.016796449199318886,50,207462,7
