,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,validation,EMCINetworkLong75,23,"M,F",0.4839650145772595,0.3917525773195876,0.471786013400335,,0.4894262981574539,0.3877551020408163,0.3958333333333333,0.6833253502845764,68,286000,8
362,EMCI,validation,EMCINetworkLong75,362,"M,F",0.478134110787172,0.478134110787172,0.49075237297599106,,0.4894262981574539,0.4120603015075377,0.5694444444444444,0.17996448278427124,10,286000,8
191,EMCI,validation,EMCINetworkLong75,191,"M,F",0.5043731778425656,0.4217687074829932,0.4941722501395868,,0.4894262981574539,0.41333333333333333,0.4305555555555556,0.8883363604545593,23,286000,8
80,EMCI,validation,EMCINetworkLong75,80,"M,F",0.5160349854227405,0.48125,0.5186173925181463,0.16395367670877875,0.4894262981574539,0.4375,0.5347222222222222,0.2182520031929016,18,286000,8
769,EMCI,validation,EMCINetworkLong75,769,"M,F",0.521865889212828,0.4906832298136646,0.5255618369625907,0.17114278161773,0.4894262981574539,0.4438202247191011,0.5486111111111112,0.08093475550413132,25,286000,8
328,EMCI,validation,EMCINetworkLong75,328,"M,F",0.4897959183673469,0.45141065830721006,0.4912060301507538,,0.4894262981574539,0.4114285714285714,0.5,0.06212517246603966,25,286000,8
204,EMCI,validation,EMCINetworkLong75,204,"M,F",0.49271137026239065,0.43137254901960786,0.48796063651591287,,0.4894262981574539,0.4074074074074074,0.4583333333333333,0.15276874601840973,16,286000,8
281,EMCI,validation,EMCINetworkLong75,281,"M,F",0.43731778425655976,0.45014245014245013,0.4526975153545506,,0.4894262981574539,0.38164251207729466,0.5486111111111112,0.13330991566181183,13,286000,8
841,EMCI,validation,EMCINetworkLong75,841,"M,F",0.5422740524781341,0.5285285285285285,0.5517867113344501,0.20016736853471545,0.4894262981574539,0.4656084656084656,0.6111111111111112,0.07994480431079865,28,286000,8
31,EMCI,validation,EMCINetworkLong75,31,"M,F",0.48104956268221577,0.46706586826347307,0.48942629815745387,,0.4894262981574539,0.4105263157894737,0.5416666666666666,0.37385961413383484,11,286000,8
