,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,test,LMCINetworkLong75,23,"M,F",0.8046647230320699,0.7172995780590717,0.7945208139173656,0.4344701844701845,0.7912006834420627,0.6746031746031746,0.7657657657657657,0.4732019007205963,249,286000,8
362,LMCI,test,LMCINetworkLong75,362,"M,F",0.7988338192419825,0.7315175097276264,0.811354457906182,0.4465074124006191,0.7912006834420627,0.6438356164383562,0.8468468468468469,0.013109217397868633,500,286000,8
191,LMCI,test,LMCINetworkLong75,191,"M,F",0.7755102040816326,0.6980392156862745,0.7823664181422803,0.41838348917430557,0.7912006834420627,0.6180555555555556,0.8018018018018018,0.03463653102517128,185,286000,8
80,LMCI,test,LMCINetworkLong75,80,"M,F",0.7871720116618076,0.7159533073929961,0.7980351040695868,0.4335645402181606,0.7912006834420627,0.6301369863013698,0.8288288288288288,0.4274044334888458,22,286000,8
769,LMCI,test,LMCINetworkLong75,769,"M,F",0.7551020408163265,0.6934306569343066,0.7813762037899968,0.41904742568320885,0.7912006834420627,0.5828220858895705,0.8558558558558559,0.022034838795661926,92,286000,8
328,LMCI,test,LMCINetworkLong75,328,"M,F",0.8250728862973761,0.75,0.8213536812674744,0.461239699255836,0.7912006834420627,0.6976744186046512,0.8108108108108109,0.08771318197250366,143,286000,8
204,LMCI,test,LMCINetworkLong75,204,"M,F",0.8046647230320699,0.726530612244898,0.8039181422802113,0.44144526363533376,0.7912006834420627,0.664179104477612,0.8018018018018018,0.2666424512863159,60,286000,8
281,LMCI,test,LMCINetworkLong75,281,"M,F",0.8163265306122449,0.7529411764705882,0.8289841565703635,0.46401649462873956,0.7912006834420627,0.6666666666666666,0.8648648648648649,0.15651369094848633,23,286000,8
841,LMCI,test,LMCINetworkLong75,841,"M,F",0.8221574344023324,0.7404255319148936,0.812150512581547,0.4540686058954657,0.7912006834420627,0.7016129032258065,0.7837837837837838,0.37569496035575867,60,286000,8
31,LMCI,test,LMCINetworkLong75,31,"M,F",0.8192419825072886,0.7181818181818181,0.7912006834420626,0.4412732469276187,0.7912006834420627,0.7247706422018348,0.7117117117117117,0.6434170007705688,54,286000,8
