,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,validation,CNNetworkLong75,23,"M,F",0.5043731778425656,0.5277777777777778,0.5157206742346062,0.17841008038826295,0.4849501203990368,0.45893719806763283,0.6209150326797386,0.003498426405712962,98,286000,8
362,CN,validation,CNNetworkLong75,362,"M,F",0.45481049562682213,0.557919621749409,0.4856209150326797,,0.4849501203990368,0.43703703703703706,0.7712418300653595,0.011916239745914936,44,286000,8
191,CN,validation,CNNetworkLong75,191,"M,F",0.478134110787172,0.535064935064935,0.4971276229790162,,0.4849501203990368,0.44396551724137934,0.673202614379085,0.1390717774629593,27,286000,8
80,CN,validation,CNNetworkLong75,80,"M,F",0.5102040816326531,0.5333333333333333,0.5216202270381837,0.18263578723414828,0.4849501203990368,0.463768115942029,0.6274509803921569,0.3584929406642914,25,286000,8
769,CN,validation,CNNetworkLong75,769,"M,F",0.5422740524781341,0.5626740947075209,0.5537495700034399,0.2049485998745314,0.4849501203990368,0.49029126213592233,0.6601307189542484,0.06421131640672684,40,286000,8
328,CN,validation,CNNetworkLong75,328,"M,F",0.4839650145772595,0.4716417910447761,0.4871173030615755,,0.4849501203990368,0.4340659340659341,0.5163398692810458,0.5992324948310852,43,286000,8
204,CN,validation,CNNetworkLong75,204,"M,F",0.49271137026239065,0.5,0.5001031991744066,0.15753642116187136,0.4849501203990368,0.4461538461538462,0.5686274509803921,0.6278812885284424,43,286000,8
281,CN,validation,CNNetworkLong75,281,"M,F",0.44314868804664725,0.5236907730673317,0.46682146542827657,,0.4849501203990368,0.42338709677419356,0.6862745098039216,0.07651704549789429,35,286000,8
841,CN,validation,CNNetworkLong75,841,"M,F",0.4868804664723032,0.5268817204301075,0.5018403852769178,0.17811651731795128,0.4849501203990368,0.4474885844748858,0.6405228758169934,0.15244941413402557,25,286000,8
31,CN,validation,CNNetworkLong75,31,"M,F",0.4752186588921283,0.4943820224719101,0.4849501203990368,,0.4849501203990368,0.43349753694581283,0.5751633986928104,0.4723820090293884,31,286000,8
