,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,validation,LMCINetworkLong50,23,"M,F",0.8134110787172012,0.7288135593220338,0.8050721810378462,0.44646464646464645,0.81063207179087,0.6825396825396826,0.7818181818181819,0.5164941549301147,23,428575,10
362,LMCI,validation,LMCINetworkLong50,362,"M,F",0.7521865889212828,0.6931407942238267,0.7840031213421772,0.42349724087473073,0.81063207179087,0.5748502994011976,0.8727272727272727,0.1321420520544052,20,428575,10
191,LMCI,validation,LMCINetworkLong50,191,"M,F",0.8396501457725948,0.7717842323651453,0.8411822083495905,0.48177073744140264,0.81063207179087,0.7099236641221374,0.8454545454545455,0.3769916594028473,19,428575,10
80,LMCI,validation,LMCINetworkLong50,80,"M,F",0.8367346938775511,0.7647058823529411,0.8342372220054624,0.4761021981844686,0.81063207179087,0.7109375,0.8272727272727273,0.6443546414375305,22,428575,10
769,LMCI,validation,LMCINetworkLong50,769,"M,F",0.8513119533527697,0.7713004484304933,0.8329691767460008,0.4857257786461326,0.81063207179087,0.7610619469026548,0.7818181818181819,0.874975323677063,500,428575,10
328,LMCI,validation,LMCINetworkLong50,328,"M,F",0.8221574344023324,0.7404255319148936,0.8139094810768631,0.45628253379273787,0.81063207179087,0.696,0.7909090909090909,0.48461633920669556,500,428575,10
204,LMCI,validation,LMCINetworkLong50,204,"M,F",0.8542274052478134,0.7706422018348624,0.8303160358954351,0.48790823688782875,0.81063207179087,0.7777777777777778,0.7636363636363637,0.8323522806167603,500,428575,10
281,LMCI,validation,LMCINetworkLong50,281,"M,F",0.8221574344023324,0.7426160337552743,0.8163090128755365,0.4578269553040564,0.81063207179087,0.6929133858267716,0.8,0.27930575609207153,8,428575,10
841,LMCI,validation,LMCINetworkLong50,841,"M,F",0.7784256559766763,0.7054263565891473,0.79131876706984,0.42806588061690104,0.81063207179087,0.6148648648648649,0.8272727272727273,0.3399961590766907,500,428575,10
31,LMCI,validation,LMCINetworkLong50,31,"M,F",0.8046647230320699,0.7309236947791165,0.81063207179087,0.4479715776808715,0.81063207179087,0.6546762589928058,0.8272727272727273,0.6520582437515259,20,428575,10
