,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,PD,test,23,"M,F",0.8046647230320699,0.29473684210526313,0.6824799805872359,0.3123710066922134,0.6824799805872361,0.2028985507246377,0.5384615384615384,0.02076035104691979,207462,7
362,PD,test,362,"M,F",0.4956268221574344,0.1642512077294686,0.5682479980587236,0.3112021871464875,0.5682479980587236,0.09392265193370165,0.6538461538461539,0.02076035104691979,207462,7
191,PD,test,191,"M,F",0.7667638483965015,0.21568627450980393,0.6090148022324677,0.2299710225327841,0.6090148022324678,0.14473684210526316,0.4230769230769231,0.02076035104691979,207462,7
80,PD,test,80,"M,F",0.8483965014577259,0.2571428571428571,0.6178718757583112,0.22432924218638503,0.617871875758311,0.20454545454545456,0.34615384615384615,0.02076035104691979,207462,7
769,PD,test,769,"M,F",0.8717201166180758,0.3125,0.6481436544528026,0.2714085055653262,0.6481436544528028,0.2631578947368421,0.38461538461538464,0.02076035104691979,207462,7
328,PD,test,328,"M,F",0.4897959183673469,0.1784037558685446,0.6004003882552778,0.3505890867835646,0.6004003882552779,0.10160427807486631,0.7307692307692307,0.02076035104691979,207462,7
204,PD,test,204,"M,F",0.3935860058309038,0.168,0.5836568793982043,0.3822080343126262,0.5836568793982043,0.09375,0.8076923076923077,0.02076035104691979,207462,7
281,PD,test,281,"M,F",0.8833819241982507,0.3939393939393939,0.7074132492113564,0.35564868804664723,0.7074132492113565,0.325,0.5,0.02076035104691979,207462,7
841,PD,test,841,"M,F",0.8396501457725948,0.22535211267605634,0.5954865323950498,0.19317236051929929,0.5954865323950498,0.17777777777777778,0.3076923076923077,0.02076035104691979,207462,7
31,PD,test,31,"M,F",0.8104956268221575,0.2857142857142857,0.667981072555205,0.29314868804664723,0.6679810725552051,0.2,0.5,0.02076035104691979,207462,7
